trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,-28,-260.4579705275036,"{0: 31, 1: 7, 2: 11, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,-100,-563.1622097475961,"{0: 76, 1: 8, 2: 23, 3: 6, 4: 7}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,-100,-822.8979280660383,"{0: 81, 1: 8, 2: 22, 3: 4, 4: 15}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,16,-6.317588918313705,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,-42,-232.50423274184536,"{0: 43, 1: 7, 2: 9, 3: 7, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,-1,-118.32594161621621,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,-14,-202.2172759495874,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 5}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,-72,-332.72268355537443,"{0: 81, 1: 6, 2: 10, 3: 4, 4: 6}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,7,-23.405976085728838,"{0: 9, 1: 0, 2: 4, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,-4,-127.23241730725105,"{0: 18, 1: 2, 2: 0, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,-66,-332.10173191198936,"{0: 63, 1: 5, 2: 9, 3: 2, 4: 7}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,-7,-16.72369890569089,"{0: 28, 1: 1, 2: 2, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,24,10.166991712162437,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-102.65209775648893,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,15,-20.81759103697679,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-117.23490126896539,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 2}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",30,6,14.181297828896579,"{0: 22, 1: 0, 2: 1, 3: 1, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,-23,16.77690185883348,"{0: 50, 1: 0, 2: 1, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,20,5.0254135874821815,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,8,35.657017218851955,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",25,-7,-29.073318715767446,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",25,1,-3.7783868852974525,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 1}",1
3,True,"{'a': 0, 'e': 0}",25,-8,10.29102612745493,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",20,3,33.32729959215428,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",20,12,12.500611799282888,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,11,24.425399581450474,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,1,23.11900015351986,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,5,-16.89499054261042,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
9,True,"{'a': 0, 'e': 0}",25,7,24.089905721202502,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",30,5,-56.60845409158547,"{0: 22, 1: 0, 2: 0, 3: 1, 4: 2}",1
